City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
399,cockburn town,21.4612,-71.1419,28.08,85,75,7.63,TC,1722983880
400,usinsk,65.9939,57.5281,7.08,72,5,5.07,RU,1722984134
401,roma,43.2128,-75.4557,22.08,73,75,1.54,US,1722984135
402,ironwood,46.4547,-90.171,21.98,40,0,3.6,US,1722984136
403,la'ie,21.6477,-157.9253,30.98,67,7,6.6,US,1722984139
404,conception bay south,47.4999,-52.9981,18.64,89,100,6.03,CA,1722984140
405,port blair,11.6667,92.75,26.02,89,100,1.03,IN,1722984141
406,da nang,16.0678,108.2208,24.99,83,20,2.06,VN,1722984066
407,arar,30.9753,41.0381,30.01,16,0,4.12,SA,1722984143
408,chonchi,-42.6128,-73.8092,7.56,93,99,0.64,CL,1722984144
409,saint-francois,46.4154,3.9054,20.93,89,0,1.03,FR,1722984145
410,hami,42.8,93.45,29.79,17,100,2.4,CN,1722983953
411,kunjah,32.5285,73.9737,30.02,89,13,3.11,PK,1722984148
412,surat thani,9.1667,99.25,26.21,97,93,0.89,TH,1722984149
413,arfoud,31.4348,-4.2375,35.32,9,44,2.6,MA,1722984150
414,thames,-37.1333,175.5333,12.41,62,0,0.27,NZ,1722984151
415,tanjung selor,2.8372,117.3642,23.71,97,91,0.93,ID,1722984152
416,sao miguel do araguaia,-13.275,-50.1628,26.18,33,1,2.25,BR,1722984154
417,crane,31.3974,-102.3501,36.3,19,0,4.57,US,1722984155
418,noshiro,40.2039,140.0242,25.4,84,61,0.29,JP,1722984156
419,fort mcmurray,56.7268,-111.381,23.77,38,0,5.66,CA,1722984157
420,west side highway,46.184,-122.9172,21.88,56,40,3.6,US,1722984158
421,ar rahad,12.7167,30.65,23.73,84,100,3.9,SD,1722984159
422,nova olimpia,-14.7972,-57.2881,26.55,25,2,2.47,BR,1722984160
423,lata,40.1629,-8.3327,18.37,99,76,1.5,PT,1722984162
424,north platte,41.1239,-100.7654,23.94,60,0,3.6,US,1722984163
425,lorengau,-2.0226,147.2712,28.31,78,100,4.74,PG,1722984164
426,navojoa,27.1,-109.4333,34.02,52,45,8.68,MX,1722983931
